District Name,ORG_CODE,Tests Taken,Score=1,Score=2,Score=3,Score=4,Score=5,Score_1_2,Score_3_5
Abington,00010000,     105,      12,      36,      40,      11,       6,  45.7,  54.3
Academy Of the Pacific Rim Charter Public (District),04120000,      55,      36,      11,       3,       3,       2,  85.5,  14.5
Acton-Boxborough,06000000,     934,       9,      20,      71,     229,     605,   3.1,  96.9
Adams-Cheshire,06030000,      78,      23,      18,      19,      15,       3,  52.6,  47.4
Advanced Math and Science Academy Charter (District),04300000,     220,       5,      11,      34,      66,     104,   7.3,  92.7
Agawam,00050000,     477,      85,     121,     148,      85,      38,  43.2,  56.8
Amesbury,00070000,     117,       4,      26,      32,      32,      23,  25.6,  74.4
Amherst-Pelham,06050000,     220,       8,       9,      44,      61,      98,   7.7,  92.3
Andover,00090000,     669,      36,      91,     232,     163,     147,  19.0,  81.0
Arlington,00100000,     578,      34,      55,     123,     176,     190,  15.4,  84.6
Ashburnham-Westminster,06100000,     104,       2,      16,      41,      31,      14,  17.3,  82.7
Ashland,00140000,     375,      16,      43,     109,      97,     110,  15.7,  84.3
Assabet Valley Regional Vocational Technical,08010000,      64,      20,      29,      12,       3,       0,  76.6,  23.4
Athol-Royalston,06150000,     105,      31,      37,      25,       9,       3,  64.8,  35.2
Attleboro,00160000,     450,      76,      84,     148,      87,      55,  35.6,  64.4
Auburn,00170000,     115,      14,      19,      34,      34,      14,  28.7,  71.3
Avon,00180000,      14,       3,       4,       6,       1,       0,  50.0,  50.0
Ayer Shirley School District,06160000,      42,       4,      11,      19,       4,       4,  35.7,  64.3
Barnstable,00200000,     597,      49,     108,     187,     171,      82,  26.3,  73.7
Bedford,00230000,     188,       4,      10,      34,      63,      77,   7.4,  92.6
Belchertown,00240000,      80,       1,      23,      28,      20,       8,  30.0,  70.0
Bellingham,00250000,     231,      68,      70,      58,      25,      10,  59.7,  40.3
Belmont,00260000,     833,      13,      36,     130,     234,     420,   5.9,  94.1
Berkshire Arts and Technology Charter Public (District),04140000,      35,       6,      11,      12,       3,       3,  48.6,  51.4
Berkshire Hills,06180000,      93,      13,      14,      22,      23,      21,  29.0,  71.0
Berlin-Boylston,06200000,      95,      10,      23,      23,      26,      13,  34.7,  65.3
Beverly,00300000,     249,      53,      56,      64,      52,      24,  43.8,  56.2
Billerica,00310000,     165,       6,      22,      46,      47,      44,  17.0,  83.0
Blackstone Valley Regional Vocational Technical,08050000,     175,      82,      38,      33,      14,       8,  68.6,  31.4
Blackstone-Millville,06220000,      52,       4,      13,      12,      12,      11,  32.7,  67.3
Blue Hills Regional Vocational Technical,08060000,       1,,,,,,    .0,    .0
Boston,00350000,"   3,993","   1,174",     850,     805,     702,     462,  50.7,  49.3
Boston Collegiate Charter (District),04490000,      97,      10,      41,      30,      14,       2,  52.6,  47.4
Boston Green Academy Horace Mann Charter School (District),04110000,      14,      12,       1,       1,       0,       0,  92.9,   7.1
Boston Preparatory Charter Public (District),04160000,      61,      35,      15,       5,       4,       2,  82.0,  18.0
Bourne,00360000,     138,      22,      37,      40,      20,      19,  42.8,  57.2
Braintree,00400000,     573,       9,      38,     142,     194,     190,   8.2,  91.8
Bridgewater-Raynham,06250000,     238,      33,      42,      73,      53,      37,  31.5,  68.5
Bristol-Plymouth Regional Vocational Technical,08100000,      33,      10,       8,       9,       6,       0,  54.5,  45.5
Brockton,00440000,     150,      41,      27,      34,      29,      19,  45.3,  54.7
Brookline,00460000,     834,       7,      37,     120,     236,     434,   5.3,  94.7
Burlington,00480000,     260,      26,      44,      78,      70,      42,  26.9,  73.1
Cambridge,00490000,     325,      24,      38,      64,      95,     104,  19.1,  80.9
Canton,00500000,     276,      62,      44,      72,      64,      34,  38.4,  61.6
Carver,00520000,     150,      11,      22,      45,      45,      27,  22.0,  78.0
Central Berkshire,06350000,     103,      12,      32,      35,      16,       8,  42.7,  57.3
Chatham,00550000,      47,       3,       4,      15,      19,       6,  14.9,  85.1
Chelmsford,00560000,     482,      38,      58,     125,     158,     103,  19.9,  80.1
Chelsea,00570000,     283,     103,      84,      54,      32,      10,  66.1,  33.9
Chicopee,00610000,     257,      31,      69,      82,      52,      23,  38.9,  61.1
City On A Hill Charter Public (District),04370000,      47,      40,       7,       0,       0,       0, 100.0,    .0
Clinton,00640000,      62,      19,      16,      14,      10,       3,  56.5,  43.5
Cohasset,00650000,     224,       9,      29,      64,      54,      68,  17.0,  83.0
Community Charter School of Cambridge (District),04360000,      28,       0,      16,       9,       2,       1,  57.1,  42.9
Concord-Carlisle,06400000,     220,       1,       7,      24,      54,     134,   3.6,  96.4
Danvers,00710000,     397,      41,      97,     132,      78,      49,  34.8,  65.2
Dartmouth,00720000,     347,      23,      50,     109,      95,      70,  21.0,  79.0
Dedham,00730000,     271,      27,      60,      89,      69,      26,  32.1,  67.9
Dennis-Yarmouth,06450000,     218,      28,      45,      69,      49,      27,  33.5,  66.5
Dighton-Rehoboth,06500000,     129,       4,      20,      37,      47,      21,  18.6,  81.4
Douglas,00770000,     130,      22,      27,      43,      28,      10,  37.7,  62.3
Dover-Sherborn,06550000,     423,       3,      14,      66,     110,     230,   4.0,  96.0
Dracut,00790000,     263,      36,      56,      73,      68,      30,  35.0,  65.0
Dudley-Charlton Reg,06580000,     139,      13,      21,      38,      41,      26,  24.5,  75.5
Duxbury,00820000,     559,      44,      71,     137,     178,     129,  20.6,  79.4
East Bridgewater,00830000,     137,      45,      19,      29,      23,      21,  46.7,  53.3
East Longmeadow,00870000,     258,      18,      25,      44,      81,      90,  16.7,  83.3
Easthampton,00860000,     127,      18,      33,      41,      17,      18,  40.2,  59.8
Easton,00880000,     519,      86,     117,     141,     120,      55,  39.1,  60.9
