DISTRICT,ORG_CODE,Tests Taken,Reading,Writing,Math
Abby Kelley Foster Charter Public (District),04450000,70,434,440,429
Abington,00010000,84,490,480,508
Academy Of the Pacific Rim Charter Public (District),04120000,41,491,499,514
Acton-Boxborough,06000000,446,611,612,650
Adams-Cheshire,06030000,74,489,495,512
Advanced Math and Science Academy Charter (District),04300000,59,611,603,638
Agawam,00050000,232,489,487,508
Amesbury,00070000,101,529,506,524
Amesbury Academy Charter Public (District),04150000,3,,,
Amherst-Pelham,06050000,204,579,577,586
Andover,00090000,403,560,562,586
Arlington,00100000,238,564,559,565
Ashburnham-Westminster,06100000,148,516,511,529
Ashland,00140000,166,543,526,578
Assabet Valley Regional Vocational Technical,08010000,130,447,427,470
Athol-Royalston,06150000,50,473,439,469
Attleboro,00160000,260,478,481,507
Auburn,00170000,162,478,474,503
Avon,00180000,36,438,422,444
Ayer Shirley School District,06160000,45,482,470,482
Barnstable,00200000,302,524,518,538
Bedford,00230000,159,572,571,592
Belchertown,00240000,119,521,517,538
Bellingham,00250000,133,496,479,494
Belmont,00260000,266,586,591,612
Berkshire Arts and Technology Charter Public (District),04140000,12,506,498,478
Berkshire Hills,06180000,97,546,527,514
Berlin-Boylston,06200000,66,544,548,556
Beverly,00300000,211,497,500,515
Billerica,00310000,267,498,498,537
Blackstone Valley Regional Vocational Technical,08050000,189,477,460,485
Blackstone-Millville,06220000,77,510,506,512
Blue Hills Regional Vocational Technical,08060000,140,446,420,459
Boston,00350000,"2,532",431,427,464
Boston Collegiate Charter (District),04490000,28,463,489,535
Boston Day and Evening Academy Charter (District),04240000,25,424,400,417
Boston Green Academy Horace Mann Charter School (District),04110000,44,377,360,383
Boston Preparatory Charter Public (District),04160000,22,444,447,525
Bourne,00360000,111,511,484,517
Braintree,00400000,310,533,529,550
Bridgewater-Raynham,06250000,284,494,486,510
Bristol County Agricultural,09100000,80,488,459,495
Bristol-Plymouth Regional Vocational Technical,08100000,147,437,423,451
Brockton,00440000,600,426,419,444
Brookline,00460000,410,587,591,614
Burlington,00480000,208,527,527,539
Cambridge,00490000,333,502,497,509
Canton,00500000,191,510,515,548
Cape Cod Regional Vocational Technical,08150000,47,451,414,462
Carver,00520000,82,524,509,517
Central Berkshire,06350000,109,514,500,528
Chatham,00550000,39,532,531,533
Chelmsford,00560000,359,550,548,577
Chelsea,00570000,134,401,386,435
Chicopee,00610000,282,490,484,498
City On A Hill Charter Public (District),04370000,40,394,402,458
Clinton,00640000,74,483,470,502
Codman Academy Charter Public (District),04380000,22,391,385,432
Cohasset,00650000,93,555,549,563
Community Charter School of Cambridge (District),04360000,25,428,457,464
Concord-Carlisle,06400000,290,587,586,601
Danvers,00710000,193,507,507,528
Dartmouth,00720000,213,503,489,538
Dedham,00730000,157,494,493,512
Dennis-Yarmouth,06450000,146,492,476,501
Dighton-Rehoboth,06500000,192,502,503,518
Douglas,00770000,86,504,512,513
Dover-Sherborn,06550000,157,596,602,621
Dracut,00790000,196,502,492,510
Dudley-Charlton Reg,06580000,258,497,495,513
Duxbury,00820000,237,541,550,568
East Bridgewater,00830000,87,490,497,511
East Longmeadow,00870000,178,497,493,521
Easthampton,00860000,56,512,486,520
Easton,00880000,268,533,527,541
Edward M. Kennedy Academy for Health Careers (Horace Mann Charter School),04520000,69,398,419,419
Essex Agricultural Technical,09130000,73,506,470,480
Everett,00930000,254,435,419,443
Fairhaven,00940000,89,483,473,496
Fall River,00950000,229,454,443,467
Falmouth,00960000,132,509,522,531
Fitchburg,00970000,153,464,446,462
Four Rivers Charter Public (District),04130000,27,593,539,524
Foxborough,00990000,175,522,530,543
Foxborough Regional Charter (District),04460000,24,539,503,527
Framingham,01000000,389,514,517,554
Francis W. Parker Charter Essential (District),04780000,69,583,555,550
Franklin,01010000,363,537,540,561
Franklin County Regional Vocational Technical,08180000,24,473,413,465
Freetown-Lakeville,06650000,163,504,504,508
Frontier,06700000,71,541,515,532
Gardner,01030000,96,516,499,524
Gateway,06720000,42,525,519,544
Georgetown,01050000,104,547,547,561
Gill-Montague,06740000,39,506,486,511
Global Learning Charter Public (District),04960000,14,462,451,474
Gloucester,01070000,147,499,486,521
Grafton,01100000,123,533,524,546
Granby,01110000,57,509,491,526
Greater Fall River Regional Vocational Technical,08210000,114,436,420,460
Greater Lawrence Regional Vocational Technical,08230000,105,388,378,393
Greater Lowell Regional Vocational Technical,08280000,105,444,420,453
Greater New Bedford Regional Vocational Technical,08250000,267,444,418,440
Greenfield,01140000,32,510,513,522
Groton-Dunstable,06730000,195,536,517,581
Hadley,01170000,47,531,525,524
Hamilton-Wenham,06750000,168,574,566,577
Hampden-Wilbraham,06800000,254,522,515,541
Hampshire,06830000,110,531,507,540
Hanover,01220000,158,497,491,506
Harvard,01250000,103,603,595,609
Harwich,01260000,57,522,507,528
Hatfield,01270000,24,565,550,535
Haverhill,01280000,240,502,483,515
Hingham,01310000,257,556,566,565
Holbrook,01330000,27,427,406,459
Holliston,01360000,214,553,556,573
Holyoke,01370000,139,441,429,480
Hopedale,01380000,64,504,483,513
Hopkinton,01390000,244,556,564,583
Hudson,01410000,173,489,493,509
Hull,01420000,69,510,517,526
Innovation Academy Charter (District),04350000,38,546,530,551
Ipswich,01440000,142,535,529,531
King Philip,06900000,290,541,543,554
Lawrence,01490000,327,400,396,409
Lee,01500000,54,479,463,467
Leicester,01510000,104,498,499,513
Lenox,01520000,55,584,573,563
Leominster,01530000,273,480,469,502
Lexington,01550000,454,612,617,637
Lincoln-Sudbury,06950000,381,581,577,606
Littleton,01580000,102,565,563,569
Longmeadow,01590000,239,545,547,556
Lowell,01600000,481,456,449,490
Ludlow,01610000,140,480,468,499
Lunenburg,01620000,112,538,516,547
Lynn,01630000,484,435,421,454
Lynnfield,01640000,137,535,541,558
MATCH Charter Public School (District),04690000,41,417,406,480
Ma Academy for Math and Science,04680000,50,676,655,703
Malden,01650000,298,448,445,478
Manchester Essex Regional,06980000,103,569,563,585
Mansfield,01670000,327,523,520,553
Marblehead,01680000,213,559,567,579
Marlborough,01700000,164,502,494,522
Marshfield,01710000,310,514,514,527
Martha's Vineyard Charter (District),04660000,10,573,534,510
Marthas Vineyard,07000000,121,531,510,525
Masconomet,07050000,300,539,536,568
Mashpee,01720000,96,489,484,515
Maynard,01740000,43,519,522,517
Medfield,01750000,223,577,582,602
Medford,01760000,215,487,489,488
Medway,01770000,195,538,551,564
Melrose,01780000,238,512,512,515
Mendon-Upton,07100000,156,547,533,555
Methuen,01810000,278,477,470,490
Middleborough,01820000,132,486,464,497
Milford,01850000,200,483,475,499
Millbury,01860000,79,491,493,521
Millis,01870000,79,519,516,526
Milton,01890000,230,514,507,528
Minuteman Regional Vocational Technical,08300000,95,469,451,473
Mohawk Trail,07170000,41,543,517,534
Monson,01910000,66,475,478,489
Montachusett Regional Vocational Technical,08320000,161,465,428,471
Mount Greylock,07150000,91,571,558,579
Mystic Valley Regional Charter (District),04700000,81,513,539,541
Nantucket,01970000,66,480,487,505
Narragansett,07200000,61,497,493,513
Nashoba,07250000,220,563,554,581
Nashoba Valley Regional Vocational Technical,08520000,90,461,418,465
Natick,01980000,282,536,532,564
Nauset,06600000,205,550,544,546
Needham,01990000,341,581,582,594
New Bedford,02010000,247,446,424,443
New Leadership Charter (District),04710000,31,422,394,402
Newburyport,02040000,145,551,558,563
Newton,02070000,751,587,595,614
Norfolk County Agricultural,09150000,111,501,478,490
North Adams,02090000,69,467,455,473
North Andover,02110000,277,528,525,545
North Attleborough,02120000,226,532,514,546
North Brookfield,02150000,26,477,443,484
