DISTRICT,Org Code,Tests Taken,Reading,Writing,Math
Abby Kelley Foster Charter Public (District),04450000,70,482,485,472
Abington,00010000,98,520,498,516
Academy Of the Pacific Rim Charter Public (District),04120000,4,,,
Acton-Boxborough,06000000,423,616,607,640
Adams-Cheshire,06030000,44,494,478,489
Advanced Math and Science Academy Charter (District),04300000,176,606,604,658
Agawam,00050000,235,496,475,515
Amesbury,00070000,117,530,517,531
Amherst-Pelham,06050000,175,593,563,600
Andover,00090000,393,566,562,581
Arlington,00100000,271,581,576,592
Ashburnham-Westminster,06100000,127,511,488,514
Ashland,00140000,160,549,530,576
Assabet Valley Regional Vocational Technical,08010000,124,439,413,438
Athol-Royalston,06150000,49,466,456,473
Attleboro,00160000,302,494,490,504
Auburn,00170000,134,488,477,505
Avon,00180000,33,467,451,481
Ayer Shirley School District,06160000,65,504,481,511
Barnstable,00200000,261,505,489,513
Bedford,00230000,171,566,550,572
Belchertown,00240000,114,544,531,544
Bellingham,00250000,106,515,480,518
Belmont,00260000,287,586,583,609
Berkshire Arts and Technology Charter Public (District),04140000,25,514,490,502
Berkshire Hills,06180000,96,547,519,522
Berlin-Boylston,06200000,61,526,510,528
Beverly,00300000,241,517,511,523
Billerica,00310000,240,521,516,540
Blackstone Valley Regional Vocational Technical,08050000,225,485,465,502
Blackstone-Millville,06220000,81,519,488,514
Blue Hills Regional Vocational Technical,08060000,103,445,406,446
Boston,00350000,"2,683",434,431,466
Boston Collegiate Charter (District),04490000,63,491,508,536
Boston Day and Evening Academy Charter (District),04240000,24,410,381,409
Boston Green Academy Horace Mann Charter School (District),04110000,38,367,336,357
Boston Preparatory Charter Public (District),04160000,45,426,424,489
Bourne,00360000,104,499,490,508
Braintree,00400000,339,518,509,541
Bridgewater-Raynham,06250000,279,510,504,531
Bristol County Agricultural,09100000,77,512,479,511
Bristol-Plymouth Regional Vocational Technical,08100000,161,461,435,469
Brockton,00440000,625,440,428,453
Brookline,00460000,378,598,589,617
Burlington,00480000,206,521,517,540
Cambridge,00490000,358,521,514,526
Canton,00500000,198,520,507,536
Cape Cod Regional Vocational Technical,08150000,65,471,428,448
Carver,00520000,69,514,496,517
Central Berkshire,06350000,96,499,489,509
Chelmsford,00560000,360,545,519,556
Chelsea,00570000,131,448,424,449
Chicopee,00610000,263,475,454,475
City on a Hill Charter Public School Circuit Street (District),04370000,49,395,400,460
Clinton,00640000,63,497,478,505
Codman Academy Charter Public (District),04380000,19,374,342,406
Cohasset,00650000,110,564,560,562
Community Charter School of Cambridge (District),04360000,55,427,442,475
Concord-Carlisle,06400000,263,616,605,635
Danvers,00710000,204,515,506,523
Dartmouth,00720000,207,516,508,530
Dedham,00730000,160,490,477,520
Dennis-Yarmouth,06450000,138,494,479,478
Dighton-Rehoboth,06500000,147,547,532,547
Douglas,00770000,65,520,510,521
Dover-Sherborn,06550000,167,613,608,620
Dracut,00790000,176,503,487,508
Dudley-Charlton Reg,06580000,203,506,494,525
Duxbury,00820000,243,545,544,565
East Bridgewater,00830000,111,518,494,500
East Longmeadow,00870000,169,526,509,540
Easthampton,00860000,65,493,486,500
Easton,00880000,250,543,533,550
Edward M. Kennedy Academy for Health Careers (Horace Mann Charter) (District),04520000,69,386,395,397
Essex North Shore Agricultural and Technical School District,08170000,147,488,461,471
Everett,00930000,263,437,415,439
Fairhaven,00940000,125,510,495,514
Fall River,00950000,224,491,468,475
Falmouth,00960000,149,518,516,540
Fitchburg,00970000,247,395,373,414
Four Rivers Charter Public (District),04130000,25,568,548,535
Foxborough,00990000,194,520,514,534
Foxborough Regional Charter (District),04460000,61,508,494,498
Framingham,01000000,358,529,514,562
